h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.79500e+00,5.00875e-01,9.99846e-01,7.62442e-06,1.46120e-04
1.79500e+00,5.01050e-01,9.99879e-01,6.68404e-06,1.13876e-04
1.79500e+00,5.01225e-01,9.99892e-01,5.86788e-06,1.01671e-04
1.79500e+00,5.01400e-01,9.99898e-01,5.27082e-06,9.72211e-05
1.79500e+00,5.01575e-01,9.99898e-01,4.94048e-06,9.74504e-05
1.79500e+00,5.01750e-01,9.99891e-01,5.00996e-06,1.03622e-04
1.79500e+00,5.01925e-01,9.99868e-01,6.03916e-06,1.26260e-04
1.79500e+00,5.02100e-01,9.99736e-01,1.21998e-05,2.51592e-04
1.79500e+00,5.02275e-01,7.32869e-01,1.08689e-02,2.56262e-01
1.79500e+00,5.02450e-01,9.99770e-01,6.22644e-06,2.23559e-04
1.79500e+00,5.02625e-01,9.99899e-01,2.06759e-06,9.85791e-05
1.79500e+00,5.02800e-01,9.99924e-01,1.42303e-06,7.46745e-05
1.79500e+00,5.02975e-01,9.99934e-01,1.20300e-06,6.47326e-05
1.79500e+00,5.03150e-01,9.99940e-01,1.09066e-06,5.86528e-05
1.79500e+00,5.03325e-01,9.99945e-01,1.01867e-06,5.40915e-05
1.79500e+00,5.03500e-01,9.99949e-01,9.65917e-07,5.03261e-05
1.79500e+00,5.03675e-01,9.99952e-01,9.23399e-07,4.71222e-05
1.79500e+00,5.03850e-01,9.99955e-01,8.86350e-07,4.44387e-05
1.79500e+00,5.04025e-01,9.99957e-01,8.52570e-07,4.23467e-05
1.79500e+00,5.04200e-01,9.99958e-01,8.23300e-07,4.10444e-05
1.79500e+00,5.04375e-01,9.99958e-01,8.07478e-07,4.10226e-05
1.79500e+00,5.04550e-01,9.99955e-01,8.37136e-07,4.37862e-05
1.79500e+00,5.04725e-01,9.99944e-01,1.02964e-06,5.47293e-05
1.79500e+00,5.04900e-01,9.99906e-01,1.73565e-06,9.26137e-05
1.79500e+00,5.05075e-01,9.99866e-01,2.28377e-06,1.32015e-04
1.79500e+00,5.05250e-01,9.99887e-01,1.62957e-06,1.11268e-04
1.79500e+00,5.05425e-01,9.99902e-01,1.16964e-06,9.63498e-05
1.79500e+00,5.05600e-01,9.99907e-01,9.30823e-07,9.20242e-05
1.79500e+00,5.05775e-01,9.99906e-01,7.92712e-07,9.27790e-05
1.79500e+00,5.05950e-01,9.99903e-01,7.05499e-07,9.58975e-05
1.79500e+00,5.06125e-01,9.99899e-01,6.48350e-07,9.99795e-05
1.79500e+00,5.06300e-01,9.99895e-01,6.11006e-07,1.04160e-04
1.79500e+00,5.06475e-01,9.99892e-01,5.87332e-07,1.07852e-04
1.79500e+00,5.06650e-01,9.99889e-01,5.73037e-07,1.10669e-04
1.79500e+00,5.06825e-01,9.99887e-01,5.64929e-07,1.12412e-04
1.79500e+00,5.07000e-01,9.99886e-01,5.60740e-07,1.13048e-04
1.79500e+00,5.07175e-01,9.99887e-01,5.59167e-07,1.12794e-04
1.79500e+00,5.07350e-01,9.99888e-01,5.59675e-07,1.11550e-04
1.79500e+00,5.07525e-01,9.99889e-01,5.63066e-07,1.09954e-04
1.79500e+00,5.07700e-01,9.99891e-01,5.71295e-07,1.08316e-04
1.79500e+00,5.07875e-01,9.99892e-01,5.88521e-07,1.07229e-04
1.79500e+00,5.08050e-01,9.99892e-01,6.23179e-07,1.07662e-04
1.79500e+00,5.08225e-01,9.99888e-01,6.94074e-07,1.11548e-04
1.79500e+00,5.08400e-01,9.99875e-01,8.51464e-07,1.23800e-04
1.79500e+00,5.08575e-01,9.99837e-01,1.27788e-06,1.61759e-04
1.79500e+00,5.08750e-01,9.99660e-01,3.18788e-06,3.37064e-04
1.79500e+00,5.08925e-01,9.89751e-01,1.14660e-04,1.01347e-02
1.79500e+00,5.09100e-01,9.99522e-01,6.01193e-06,4.71879e-04
1.79500e+00,5.09275e-01,9.99856e-01,2.07321e-06,1.41961e-04
1.79500e+00,5.09450e-01,9.99892e-01,1.98751e-06,1.06099e-04
1.79500e+00,5.09625e-01,9.99878e-01,3.10969e-06,1.18810e-04
1.79500e+00,5.09800e-01,9.99792e-01,7.51270e-06,2.00778e-04
1.79500e+00,5.09975e-01,9.99048e-01,4.58118e-05,9.05860e-04
1.79500e+00,5.10150e-01,9.95951e-01,2.19942e-04,3.82889e-03
1.79500e+00,5.10325e-01,9.99719e-01,1.33871e-05,2.67777e-04
1.79500e+00,5.10500e-01,9.99865e-01,4.63018e-06,1.30571e-04
1.79500e+00,5.10675e-01,9.99893e-01,2.49630e-06,1.04922e-04
1.79500e+00,5.10850e-01,9.99897e-01,1.70784e-06,1.01655e-04
1.79500e+00,5.11025e-01,9.99893e-01,1.39335e-06,1.05679e-04
1.79500e+00,5.11200e-01,9.99886e-01,1.32882e-06,1.12326e-04
1.79500e+00,5.11375e-01,9.99879e-01,1.47702e-06,1.19620e-04
1.79500e+00,5.11550e-01,9.99871e-01,1.93084e-06,1.27009e-04
1.79500e+00,5.11725e-01,9.99861e-01,3.05582e-06,1.36112e-04
1.79500e+00,5.11900e-01,9.99838e-01,6.35033e-06,1.55940e-04
1.79500e+00,5.12075e-01,9.99726e-01,2.28268e-05,2.50994e-04
1.79500e+00,5.12250e-01,9.77865e-01,2.67127e-03,1.94636e-02
1.79500e+00,5.12425e-01,9.98828e-01,2.83928e-05,1.14410e-03
1.79500e+00,5.12600e-01,9.99687e-01,8.21495e-06,3.04308e-04
1.79500e+00,5.12775e-01,9.99806e-01,3.88751e-06,1.90358e-04
1.79500e+00,5.12950e-01,9.99848e-01,2.34261e-06,1.49329e-04
1.79500e+00,5.13125e-01,9.99872e-01,1.61758e-06,1.26447e-04
1.79500e+00,5.13300e-01,9.99888e-01,1.21769e-06,1.10314e-04
1.79500e+00,5.13475e-01,9.99902e-01,9.72342e-07,9.73453e-05
1.79500e+00,5.13650e-01,9.99913e-01,8.09826e-07,8.60928e-05
1.79500e+00,5.13825e-01,9.99923e-01,6.95815e-07,7.59451e-05
1.79500e+00,5.14000e-01,9.99933e-01,6.12061e-07,6.66094e-05
1.80000e+00,5.00000e-01,9.96639e-01,1.89071e-03,1.47052e-03
1.80000e+00,5.00175e-01,9.94028e-01,3.20342e-03,2.76883e-03
1.80000e+00,5.00350e-01,9.99164e-01,3.74668e-04,4.61802e-04
1.80000e+00,5.00525e-01,9.99550e-01,1.43611e-04,3.06380e-04
1.80000e+00,5.00700e-01,9.99537e-01,7.95119e-05,3.83371e-04
1.80000e+00,5.00875e-01,9.98694e-01,5.93253e-05,1.24617e-03
1.80000e+00,5.01050e-01,9.88656e-01,3.09897e-06,1.13413e-02
1.80000e+00,5.01225e-01,9.99522e-01,1.53970e-05,4.62915e-04
1.80000e+00,5.01400e-01,9.99797e-01,1.35260e-05,1.89788e-04
1.80000e+00,5.01575e-01,9.99858e-01,1.13876e-05,1.30832e-04
