h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.79500e+00,5.08225e-01,9.59570e-01,5.29171e-06,4.04243e-02
1.79500e+00,5.08400e-01,9.60120e-01,7.95682e-06,3.98725e-02
1.79500e+00,5.08575e-01,9.56484e-01,1.82127e-05,4.34981e-02
1.79500e+00,5.08750e-01,9.30578e-01,8.03095e-05,6.93413e-02
1.79500e+00,5.08925e-01,9.50153e-01,4.18767e-05,4.98056e-02
1.79500e+00,5.09100e-01,9.61482e-01,1.26629e-05,3.85052e-02
1.79500e+00,5.09275e-01,9.63234e-01,6.49275e-06,3.67594e-02
1.79500e+00,5.09450e-01,9.63496e-01,4.23606e-06,3.64993e-02
1.79500e+00,5.09625e-01,9.63415e-01,3.10180e-06,3.65815e-02
1.79500e+00,5.09800e-01,9.63263e-01,2.41256e-06,3.67344e-02
1.79500e+00,5.09975e-01,9.63119e-01,1.94180e-06,3.68788e-02
1.79500e+00,5.10150e-01,9.63003e-01,1.59641e-06,3.69953e-02
1.79500e+00,5.10325e-01,9.62912e-01,1.33213e-06,3.70868e-02
1.79500e+00,5.10500e-01,9.62833e-01,1.12557e-06,3.71659e-02
1.79500e+00,5.10675e-01,9.62750e-01,9.63335e-07,3.72494e-02
1.79500e+00,5.10850e-01,9.62642e-01,8.37309e-07,3.73571e-02
1.79500e+00,5.11025e-01,9.62489e-01,7.42431e-07,3.75107e-02
1.79500e+00,5.11200e-01,9.62265e-01,6.75515e-07,3.77341e-02
1.79500e+00,5.11375e-01,9.61945e-01,6.34598e-07,3.80539e-02
1.79500e+00,5.11550e-01,9.61500e-01,6.18514e-07,3.84991e-02
1.79500e+00,5.11725e-01,9.60899e-01,6.26529e-07,3.91003e-02
1.79500e+00,5.11900e-01,9.60113e-01,6.57896e-07,3.98867e-02
1.79500e+00,5.12075e-01,9.59120e-01,7.11215e-07,4.08798e-02
1.79500e+00,5.12250e-01,9.57920e-01,7.83544e-07,4.20797e-02
1.79500e+00,5.12425e-01,9.56556e-01,8.69625e-07,4.34432e-02
1.79500e+00,5.12600e-01,9.55143e-01,9.63180e-07,4.48562e-02
