h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorvance
1.79000e+00,5.12425e-01,9.99821e-01,1.99853e-06,1.77337e-04
1.79000e+00,5.12600e-01,9.99839e-01,1.43006e-06,1.59877e-04
1.79000e+00,5.12775e-01,9.99851e-01,1.09467e-06,1.47668e-04
1.79000e+00,5.12950e-01,9.99862e-01,8.74857e-07,1.37076e-04
1.79000e+00,5.13125e-01,9.99872e-01,7.20376e-07,1.26975e-04
1.79000e+00,5.13300e-01,9.99882e-01,6.06809e-07,1.17072e-04
1.79000e+00,5.13475e-01,9.99892e-01,5.21011e-07,1.07361e-04
1.79000e+00,5.13650e-01,9.99902e-01,4.55312e-07,9.79205e-05
1.79000e+00,5.13825e-01,9.99911e-01,4.04880e-07,8.88314e-05
1.79000e+00,5.14000e-01,9.99919e-01,3.66435e-07,8.01515e-05
1.79500e+00,5.00000e-01,9.99516e-01,1.95777e-04,2.87982e-04
1.79500e+00,5.00175e-01,9.99593e-01,1.05640e-04,3.01552e-04
1.79500e+00,5.00350e-01,9.99238e-01,8.06378e-05,6.81102e-04
1.79500e+00,5.00525e-01,9.72086e-01,3.38448e-04,2.75755e-02
1.79500e+00,5.00700e-01,9.99005e-01,8.04625e-06,9.86793e-04
1.79500e+00,5.00875e-01,9.99726e-01,1.06084e-05,2.63300e-04
1.79500e+00,5.01050e-01,9.99838e-01,9.76087e-06,1.51872e-04
1.79500e+00,5.01225e-01,9.99874e-01,8.55897e-06,1.17471e-04
1.79500e+00,5.01400e-01,9.99888e-01,7.52955e-06,1.04332e-04
1.79500e+00,5.01575e-01,9.99893e-01,6.78134e-06,9.98530e-05
1.79500e+00,5.01750e-01,9.99893e-01,6.38244e-06,1.00898e-04
1.79500e+00,5.01925e-01,9.99884e-01,6.53250e-06,1.09482e-04
1.79500e+00,5.02100e-01,9.99851e-01,8.08544e-06,1.40495e-04
1.79500e+00,5.02275e-01,9.99653e-01,1.80821e-05,3.28881e-04
1.79500e+00,5.02450e-01,9.67640e-01,1.37688e-03,3.09831e-02
1.79500e+00,5.02625e-01,9.99774e-01,6.61948e-06,2.19732e-04
1.79500e+00,5.02800e-01,9.99897e-01,2.42725e-06,1.01013e-04
1.79500e+00,5.02975e-01,9.99922e-01,1.69438e-06,7.64925e-05
1.79500e+00,5.03150e-01,9.99932e-01,1.42250e-06,6.65221e-05
1.79500e+00,5.03325e-01,9.99938e-01,1.27070e-06,6.07614e-05
1.79500e+00,5.03500e-01,9.99942e-01,1.16407e-06,5.66510e-05
1.79500e+00,5.03675e-01,9.99946e-01,1.07942e-06,5.33391e-05
1.79500e+00,5.03850e-01,9.99948e-01,1.00761e-06,5.05085e-05
1.79500e+00,5.04025e-01,9.99951e-01,9.44292e-07,4.80660e-05
1.79500e+00,5.04200e-01,9.99953e-01,8.87455e-07,4.60592e-05
1.79500e+00,5.04375e-01,9.99954e-01,8.37633e-07,4.47069e-05
1.79500e+00,5.04550e-01,9.99955e-01,8.01777e-07,4.46152e-05
1.79500e+00,5.04725e-01,9.99952e-01,8.09849e-07,4.76420e-05
1.79500e+00,5.04900e-01,9.99939e-01,9.85589e-07,6.03563e-05
1.79500e+00,5.05075e-01,9.99900e-01,1.67718e-06,9.88147e-05
1.79500e+00,5.05250e-01,9.99875e-01,2.17719e-06,1.23079e-04
1.79500e+00,5.05425e-01,9.99896e-01,1.72372e-06,1.02634e-04
1.79500e+00,5.05600e-01,9.99909e-01,1.34560e-06,8.96506e-05
1.79500e+00,5.05775e-01,9.99913e-01,1.11961e-06,8.57508e-05
1.79500e+00,5.05950e-01,9.99912e-01,9.73753e-07,8.66265e-05
1.79500e+00,5.06125e-01,9.99909e-01,8.71930e-07,9.00655e-05
1.79500e+00,5.06300e-01,9.99904e-01,7.98027e-07,9.48673e-05
1.79500e+00,5.06475e-01,9.99899e-01,7.44275e-07,1.00239e-04
1.79500e+00,5.06650e-01,9.99894e-01,7.06363e-07,1.05579e-04
1.79500e+00,5.06825e-01,9.99889e-01,6.81417e-07,1.10419e-04
1.79500e+00,5.07000e-01,9.99885e-01,6.67152e-07,1.14403e-04
1.79500e+00,5.07175e-01,9.99882e-01,6.61531e-07,1.17299e-04
1.79500e+00,5.07350e-01,9.99880e-01,6.62703e-07,1.19013e-04
1.79500e+00,5.07525e-01,9.99880e-01,6.69129e-07,1.19602e-04
1.79500e+00,5.07700e-01,9.99880e-01,6.80047e-07,1.19315e-04
1.79500e+00,5.07875e-01,9.99881e-01,6.96186e-07,1.18627e-04
1.79500e+00,5.08050e-01,9.99881e-01,7.21110e-07,1.18332e-04
1.79500e+00,5.08225e-01,9.99879e-01,7.63903e-07,1.19766e-04
1.79500e+00,5.08400e-01,9.99874e-01,8.46357e-07,1.25551e-04
1.79500e+00,5.08575e-01,9.99857e-01,1.02871e-06,1.42357e-04
1.79500e+00,5.08750e-01,9.99803e-01,1.54191e-06,1.95002e-04
1.79500e+00,5.08925e-01,9.99525e-01,4.16917e-06,4.70873e-04
1.79500e+00,5.09100e-01,8.26352e-01,1.71399e-03,1.71934e-01
1.79500e+00,5.09275e-01,9.99625e-01,4.11589e-06,3.70957e-04
1.79500e+00,5.09450e-01,9.99859e-01,1.79706e-06,1.39065e-04
1.79500e+00,5.09625e-01,9.99886e-01,1.84227e-06,1.12189e-04
1.79500e+00,5.09800e-01,9.99865e-01,2.96119e-06,1.32509e-04
1.79500e+00,5.09975e-01,9.99749e-01,7.59141e-06,2.43498e-04
1.79500e+00,5.10150e-01,9.98467e-01,6.10979e-05,1.47157e-03
1.79500e+00,5.10325e-01,9.97825e-01,9.91751e-05,2.07539e-03
1.79500e+00,5.10500e-01,9.99755e-01,1.04305e-05,2.34603e-04
1.79500e+00,5.10675e-01,9.99878e-01,4.10507e-06,1.17829e-04
1.79500e+00,5.10850e-01,9.99904e-01,2.39297e-06,9.37585e-05
1.79500e+00,5.11025e-01,9.99908e-01,1.72794e-06,9.06198e-05
1.79500e+00,5.11200e-01,9.99903e-01,1.46308e-06,9.53050e-05
1.79500e+00,5.11375e-01,9.99895e-01,1.43380e-06,1.03738e-04
1.79500e+00,5.11550e-01,9.99884e-01,1.63583e-06,1.14266e-04
1.79500e+00,5.11725e-01,9.99871e-01,2.21343e-06,1.26679e-04
1.79500e+00,5.11900e-01,9.99853e-01,3.69468e-06,1.43608e-04
1.79500e+00,5.12075e-01,9.99812e-01,8.42675e-06,1.79569e-04
1.79500e+00,5.12250e-01,9.99597e-01,3.83617e-05,3.64651e-04
1.79500e+00,5.12425e-01,9.77371e-01,1.90764e-03,2.07215e-02
1.79500e+00,5.12600e-01,9.99160e-01,2.15011e-05,8.18026e-04
1.79500e+00,5.12775e-01,9.99703e-01,7.41646e-06,2.89741e-04
1.79500e+00,5.12950e-01,9.99799e-01,3.77910e-06,1.96977e-04
1.79500e+00,5.13125e-01,9.99838e-01,2.35647e-06,1.59963e-04
1.79500e+00,5.13300e-01,9.99860e-01,1.65459e-06,1.37873e-04
1.79500e+00,5.13475e-01,9.99877e-01,1.25653e-06,1.21539e-04
1.79500e+00,5.13650e-01,9.99891e-01,1.00933e-06,1.08050e-04
1.79500e+00,5.13825e-01,9.99903e-01,8.45872e-07,9.62774e-05
1.79500e+00,5.14000e-01,9.99914e-01,7.32615e-07,8.57041e-05
1.80000e+00,5.00000e-01,9.84186e-01,2.32841e-03,1.34856e-02
1.80000e+00,5.00175e-01,9.96137e-01,2.23334e-03,1.62964e-03
1.80000e+00,5.00350e-01,9.92449e-01,4.20203e-03,3.34924e-03
1.80000e+00,5.00525e-01,9.98976e-01,4.85531e-04,5.38685e-04
1.80000e+00,5.00700e-01,9.99454e-01,1.88685e-04,3.56998e-04
1.80000e+00,5.00875e-01,9.99421e-01,1.07785e-04,4.71231e-04
1.80000e+00,5.01050e-01,9.98048e-01,9.03092e-05,1.86203e-03
1.80000e+00,5.01225e-01,9.93241e-01,4.30676e-06,6.75512e-03
1.80000e+00,5.01400e-01,9.99516e-01,1.76149e-05,4.65958e-04
1.80000e+00,5.01575e-01,9.99786e-01,1.59789e-05,1.98313e-04
1.80000e+00,5.01750e-01,9.99850e-01,1.35844e-05,1.36383e-04
1.80000e+00,5.01925e-01,9.99875e-01,1.16359e-05,1.13855e-04
1.80000e+00,5.02100e-01,9.99886e-01,1.02271e-05,1.04194e-04
1.80000e+00,5.02275e-01,9.99890e-01,9.33819e-06,1.01018e-04
1.80000e+00,5.02450e-01,9.99887e-01,9.03460e-06,1.04108e-04
1.80000e+00,5.02625e-01,9.99870e-01,9.71814e-06,1.20042e-04
1.80000e+00,5.02800e-01,9.99798e-01,1.35975e-05,1.88030e-04
1.80000e+00,5.02975e-01,9.98861e-01,5.92724e-05,1.07925e-03
1.80000e+00,5.03150e-01,9.99090e-01,3.00251e-05,8.79893e-04
